price,sales
3.48,15
3.12,11
2.95,21
2.68,30
3.62,11
4.32,11
2.42,25
3.81,13
2.46,20
3.34,11
4.66,10
2.66,27
2.91,37
2.03,36
1.29,66
3.63,12
3.52,16
2.85,19
3.55,18
2.07,25
3.29,13
2.63,30
2.18,25
2.68,19
3.89,10
1.96,44
4.62,10
2.26,20
2,19
2.28,47
3.62,23
3.54,11
2.75,28
3.27,10
2.62,17
1.62,45
2.67,28
3.69,13
3.27,22
3.31,31
2.22,28
3.04,17
3.09,20
2.19,38
2.95,26
4.92,14
4,17
2.75,21
1.62,58
4,15
2.68,26
2.88,23
4,22
3.38,15
2.29,22
3.84,10
2.6,20
3.6,10
3.91,11
2.54,26
3.51,16
2.21,41
2.57,22
1.83,53
2.3,29
1.47,74
3.21,23
2.91,14
3.94,20
3.66,18
4.07,11
3.95,10
3.75,23
4.17,10
4.21,6
2.82,18
3.31,12
2.22,25
2.2,25
2.58,32
4.34,10
2.13,28
2.74,18
3.2,14
1.66,57
3.22,15
2.68,22
5.03,10
4.44,12
3.89,13
4.67,8
4.36,14
2.2,28
3.03,19
3.24,20
5.05,8
1.37,84
3.14,16
4.06,9
3.48,13
1.4,66
3.42,10
2.03,38
3.83,17
3.04,14
2.11,34
2.96,18
3.33,17
5,6
3.26,11
2.21,34
3.09,21
1.47,111
5.17,8
2.88,18
3.8,11
